District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Yau Tsim Mong,Lok Fun Mansion,,1204
Sha Tin,"Mei Sau House, Mei Tin Estate",,1205
Sha Tin,"Mei Sau House, Mei Tin Estate",,1206
Sha Tin,"Mei Sau House, Mei Tin Estate",,1233
Wan Chai,The Charterhouse Causeway Bay,,1250
Central & Western,CM+ Hotels and Serviced Apartments,,1251
Islands,"Tower 10, The Visionary",,1252
Yau Tsim Mong,"Tower 2, The Waterfront",,1254
Sham Shui Po,"Block B, Hung Yu Mansion",,1263
Kowloon City,86 Wing Kwong Street,,1263
Kwun Tong,"Yuk Shek House, Ping Shek Estate",,1269
Yau Tsim Mong,Grand Austin Block 2,,1276
North,The Royal Oaks,,1276
Yau Tsim Mong,Fook Cheung Building,,1283
Kwai Tsing,Dorsett Tsuen Wan,,9 cases notified by the Mainland authority
Kwun Tong,"Lai Tat House, On Tat Estate",,1289
Wong Tai Sin,"Choi Wah House, Choi Fai Estate",,1291
Sha Tin,"Tak Wo House, Wo Che Estate",,1292
Sha Tin,"Mei Wo House, Wo Che Estate",,1293
Sha Tin,"Ming Chuen House, Shui Chuen O Estate",,1294
Wong Tai Sin,"Choi Wah House, Choi Fai Estate",,1295
Tuen Mun,Siu Lung Court,,1296
Yau Tsim Mong,"Cherry Mansion, 39A Oak Street",,1297
Wong Tai Sin,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",,1298
Kwai Tsing,Dorsett Tsuen Wan,,1299
Kwai Tsing,Dorsett Tsuen Wan,,1300
Wong Tai Sin,"Lai Yuen House, Chuk Yuen South Estate",,1301
Wong Tai Sin,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",,1302
Wong Tai Sin,"Choi Wah House, Choi Fai Estate",,1304
Kwun Tong,"Yuk Shek House, Ping Shek Estate",,1305
Wong Tai Sin,"Ching Yuen House, Tsz Ching Estate",,1306
Wong Tai Sin,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",,1307
Kwai Tsing,Dorsett Tsuen Wan,,1309
Wong Tai Sin,5 Tsz Wah Lane,,1310
Wong Tai Sin,Manning Theatre Building,,1311
Wong Tai Sin,"Block A, Gomme House",,1312
Tsuen Wan,"Block 1, Bayview Garden",,1313
Yau Tsim Mong,"Hoi Wen House , Hoi Fu Court",,1314
Wong Tai Sin,"Pik Fung House, Fung Tak Estate",,1315
Wong Tai Sin,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",,1316
Kwai Tsing,"Block 10, Kwai Shing West Estate",,1317
Wan Chai,"Tower 3, Leighton Hill",,1319
Tsuen Wan,Panda Hotel,,1320
Kwun Tong,"Choi Foon House, Choi Fook Estate",,1321
Wong Tai Sin,"Choi Wah House, Choi Fai Estate",,1322
Wong Tai Sin,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",,1323
Kwai Tsing,"Kwai Hei House, Kwai Fong Estate",,1324
Sha Tin,Tai Wai Market (non-residential),24/06/2020,1233
Sham Shui Po,Dragon Centre (non-residential),24/06/2020,"1233, 1263"
Sha Tin,Mei Tin Shopping Centre (non-residential),25/06/2020,1233
Kwun Tong,On Tat Shopping Centre North Wing (non-residential),26/06/2020,1289
Sham Shui Po,Lei Cheng Uk Plaza (non-residential),29/06/2020,1289
Tuen Mun,Hong Kong River Trade Terminal (non-residential),30/06/2020,1269
Kowloon City,"HA IT Block, Kowloon Hospital (non-residential)",02/07/2020,1292
Eastern,Tanner Garden Block 3 (non-residential),02/07/2020,1296
Kowloon City,"Treasure World, Site 11, Whampoa Garden (non-residential)",02/07/2020,1296
Yau Tsim Mong,113-115 Tung Choi Street (non-residential),02/07/2020,1296
Kowloon City,"Home World (Site 12), The Whampoa (non-residential)",02/07/2020,1296
Eastern,Island Place (non-residential),02/07/2020,1296
Sham Shui Po,261 Castle Peak Road (non-residential),03/07/2020,1263
Islands,Hong Kong Disneyland Hotel (non-residential),03/07/2020,1292
Sham Shui Po,60 Yen Chow Street (non-residential),04/07/2020,1263
Sha Tin,Ma On Shan Plaza (non-residential),04/07/2020,1292
Yau Tsim Mong,Langham Pllace (non-residential),04/07/2020,1297
Kwun Tong,"Yuk Shek House, Ping Shek Estate (non-residential)",04/07/2020,"1269, 1283, 1291, 1297"
Sha Tin,Lek Yuen Shopping Centre (non-residential),05/07/2020,1293
Sha Tin,New Town Plaza (non-residential),05/07/2020,1294
Sha Tin,13 Tai Wai Road (non-residential),05/07/2020,1294
Wong Tai Sin,"Commerical Complex, Choi Wan Estate (non-residential)",05/07/2020,1305
Yau Tsim Mong,26-38 Man Ying Street (non-residential),05/07/2020,"1289, 1301, 1317, 1324"
Sha Tin,Kings Wing Plaza 1 (non-residential),06/07/2020,1293
Sha Tin,Shui Chuen O Plaza (non-residential),06/07/2020,1294
Wong Tai Sin,The Church of Christ in China Rotary Secondary School (non-residential),06/07/2020,1295
Tuen Mun,Richland Garden Shopping Arcade (non-residential),06/07/2020,1296
Wong Tai Sin,"60A, Lung Chi Path (non-residential)",07/07/2020,1305
Wong Tai Sin,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane (non-residential)",07/07/2020,"1310, 1311, 1312, 1321"
